시도,범주,군구,관광지,위도,경도
경상북도,유명사찰,경주시,불국사,35.7901322282969,129.331816845678
경상북도,유명사찰,경주시,석굴암,35.795419626517,129.350481705783
경상북도,유명사찰,영주시,부석사,36.9989117,128.6871083
경상북도,유명사찰,포항시,보경사,36.2524480786059,129.317840491041
경상북도,유명사찰,안동시,봉정사,36.6532989676974,128.661659945788
경상북도,유명사찰,김천시,직지사,36.1163029606425,128.004116437353
경상북도,유명사찰,포항시,오어사,35.9262200362434,129.368782141543
경상북도,유명사찰,청도군,운문사,35.6617273069761,128.960367474926
경상북도,유명사찰,의성군,고운사,36.4582667917666,128.750648496899
경상북도,유명사찰,경주시,불국사,35.7901322282969,129.331816845678
경상북도,유명사찰,영천시,은해사,35.9917409650126,128.789862988929
경상북도,유명사찰,경주시,석굴암,35.795419626517,129.350481705783
경상북도,유명사찰,영주시,부석사,36.9989117,128.6871083
경상북도,유명사찰,포항시,보경사,36.2524480786059,129.317840491041
